original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
"Eddie Murphy and Richard Pryor team up in this would-be comedy about nightclub owners being squeezed by organized crime. Eddie Murphy wrote and directed this [[obnoxious]] ego [[trip]], and therefore has no one to blame but himself for its [[failure]]. This is a genuinely [[bad]] film, so completely [[devoid]] of energy and humor that it serves only as a example of Murphy's [[contempt]] for his audience. It would be remarkably easy to continue beating up on this movie, but I will show it more [[mercy]] than it showed its audience and [[stop]] now.","Eddie Murphy and Richard Pryor team up in this would-be comedy about nightclub owners being squeezed by organized crime. Eddie Murphy wrote and directed this [[obnyoxious]] ego [[hrip]], and therefore has no one to blame but himself for its [[Mailure]]. This is a genuinely [[baU]] film, so completely [[adevoid]] of energy and humor that it serves only as a example of Murphy's [[contemp]] for his audience. It would be remarkably easy to continue beating up on this movie, but I will show it more [[merc]] than it showed its audience and [[sop]] now.",0.002221524715423584,0.7026900053024292,0,1,0,90,Successful
"I'm a big fan of Patricia Hodge and Mariam Margolyes, so I watched this show when it came on A&E some years ago. The show was strange to say the least, but I gave it a chance because I liked these actresses. This has got to be one of the [[worst]] shows I've ever seen. I wouldn't watch it again and certainly wouldn't waste money on buying the video. The [[storyline]] of this TV version is [[ludicrous]] and just plain stupid! The ""kicker"" (pun intended) comes when Ruth has surgery done on her leg bones. That kind of [[nonsense]] belongs in James Bond and Sci-Fi movies. [[If]] this version is true to the book, then I won't be checking the book out from my local library! The American version came out some years after I'd seen this original. To my surprise the Americans got it right this time, as their version with Meryl Streep and Roseanne is played for laughs and is rather funny. [[When]] played for laughs the storyline works.","I'm a big fan of Patricia Hodge and Mariam Margolyes, so I watched this show when it came on A&E some years ago. The show was strange to say the least, but I gave it a chance because I liked these actresses. This has got to be one of the [[zorst]] shows I've ever seen. I wouldn't watch it again and certainly wouldn't waste money on buying the video. The [[tsoryline]] of this TV version is [[ludicrou]] and just plain stupid! The ""kicker"" (pun intended) comes when Ruth has surgery done on her leg bones. That kind of [[nonsensRe]] belongs in James Bond and Sci-Fi movies. [[fI]] this version is true to the book, then I won't be checking the book out from my local library! The American version came out some years after I'd seen this original. To my surprise the Americans got it right this time, as their version with Meryl Streep and Roseanne is played for laughs and is rather funny. [[Whqen]] played for laughs the storyline works.",0.0026702880859375,0.7986396551132202,0,1,0,131,Successful
"Just to let everyone know, this is possibly the [[WORST]] movie I have ever seen, and I've seen pretty much everything. If you're thinking of renting it, DON'T!!! It's not [[worth]] the cardboard container that it came in....","Just to let everyone know, this is possibly the [[WORTS]] movie I have ever seen, and I've seen pretty much everything. If you're thinking of renting it, DON'T!!! It's not [[wmrth]] the cardboard container that it came in....",0.0033403635025024414,0.9310485124588013,0,1,0,40,Successful
"""Electra Glide in Blue"" is a slow moving B-flick in which Blake plays a desert motorcycle cop who wants to be a homicide detective and becomes embroiled in a murder investigation. A mediocre film at best, ""EG in B"" features some members of the band Chicago, a whiff of action, some philosophizing, and lots and lots of [[boring]] dramatic filler. [[Not]] worth the time.","""Electra Glide in Blue"" is a slow moving B-flick in which Blake plays a desert motorcycle cop who wants to be a homicide detective and becomes embroiled in a murder investigation. A mediocre film at best, ""EG in B"" features some members of the band Chicago, a whiff of action, some philosophizing, and lots and lots of [[boyring]] dramatic filler. [[vNot]] worth the time.",0.0025437474250793457,0.8866380453109741,0,1,0,48,Successful
"I'm a huge Zack Allan fan and was [[disappointed]] that he only got one scene in the movie. This was also my favourite scene where he confiscates a character's weapons and directs her to Down Below. Unfortunately unlike Thirdspace & River of Souls, most of the action took place off station. I didn't care much for Garibaldi after the first three seasons and think Sheridan is okay but no Sinclair. I like Lochley but she only had limited screen time. [[If]] you like Crusade or space battles you should enjoy it. [[Personally]] I can only give it 1/[[10]].","I'm a huge Zack Allan fan and was [[disappoUnted]] that he only got one scene in the movie. This was also my favourite scene where he confiscates a character's weapons and directs her to Down Below. Unfortunately unlike Thirdspace & River of Souls, most of the action took place off station. I didn't care much for Garibaldi after the first three seasons and think Sheridan is okay but no Sinclair. I like Lochley but she only had limited screen time. [[sf]] you like Crusade or space battles you should enjoy it. [[Pemsonally]] I can only give it 1/[[1W]].",0.0036666393280029297,0.7604418992996216,0,1,0,74,Successful
"Now any Blaxploiation fan will recognise the ingredients: big Afros, topless babes, surreally bad fashions and some 'jive' talk. In this case add in a lead who can't act, a plot that makes [[little]] sense, editing by someone with no hands who has been blindfolded and the most god-awful fight scenes and you have 'TNT Jackson'. Not quite bad enough to be good, but not good enough to be bad, this is a wonderful [[mess]] from start to finish. I especially loved the endless continuity errors and the lead's white stunt double.<br /><br />This is so '70s bad Far Eastern martial arts meets black power that it hurts, but boy it [[hurts]] so good! I am ashamed to admit that I almost enjoyed it.","Now any Blaxploiation fan will recognise the ingredients: big Afros, topless babes, surreally bad fashions and some 'jive' talk. In this case add in a lead who can't act, a plot that makes [[ligtle]] sense, editing by someone with no hands who has been blindfolded and the most god-awful fight scenes and you have 'TNT Jackson'. Not quite bad enough to be good, but not good enough to be bad, this is a wonderful [[meHss]] from start to finish. I especially loved the endless continuity errors and the lead's white stunt double.<br /><br />This is so '70s bad Far Eastern martial arts meets black power that it hurts, but boy it [[hurst]] so good! I am ashamed to admit that I almost enjoyed it.",0.0047490596771240234,0.8156483769416809,0,1,0,89,Successful
"Carmen is a prostitute that lives seducing and stealing soldiers of the Spanish army; she is, without any doubt, the best femme fatale at the moment. When a man resist her charming attentions, she decides to do everything to destroy him. At the end, he falls in her web and he will be forced to make all the things he ever hated only for being with Carmen. Despite Paz Vega is very beautiful, she doesn't seem a gypsy (as Carmen is) and [[neither]] her [[acting]] nor Sbaraglia's are [[good]]. The story results very [[boring]], and, in most moments, it is very [[absurd]], while [[intending]] to appear truthful. in the same way are the scenarios and the Special [[Effects]], despite not being but they are not but acceptable, and too [[much]] [[artificial]] for a historic film as it is. To sum up, [[boring]] and bad, with a very [[absurd]] development, there are much betters thing to watch.","Carmen is a prostitute that lives seducing and stealing soldiers of the Spanish army; she is, without any doubt, the best femme fatale at the moment. When a man resist her charming attentions, she decides to do everything to destroy him. At the end, he falls in her web and he will be forced to make all the things he ever hated only for being with Carmen. Despite Paz Vega is very beautiful, she doesn't seem a gypsy (as Carmen is) and [[nither]] her [[actHing]] nor Sbaraglia's are [[ood]]. The story results very [[borinEg]], and, in most moments, it is very [[abPurd]], while [[intedning]] to appear truthful. in the same way are the scenarios and the Special [[Effect]], despite not being but they are not but acceptable, and too [[Emuch]] [[arificial]] for a historic film as it is. To sum up, [[boking]] and bad, with a very [[aSsurd]] development, there are much betters thing to watch.",0.003294050693511963,0.7795021533966064,0,1,0,121,Successful
"This movie was recommended to me by several people, and after reading all the positive comments from this site I went ahead and bought a copy of the film off ebay. The acting in the film is average and a bit hammy, especially by the family of cannibals, one sequence comes to mind when Jupiter is ranting and raving to the burnt corpse, speaking right into the camera. Its one of those performances where you just cringe and feel bad for that poor actor. Its also evidence of some of the worst editing I've seen, theres a terrible jump cut right in the middle of his ""speech"". There are a few creepy moments though, and at times the music works well...but overall the film [[isnt]] that great and I dont know why people think Wes Craven is that great of a director. Thus far he hasn't showed me anything that I believe to be brilliant, the only thing that improved with Cravens films, production to prodution was his budget.","This movie was recommended to me by several people, and after reading all the positive comments from this site I went ahead and bought a copy of the film off ebay. The acting in the film is average and a bit hammy, especially by the family of cannibals, one sequence comes to mind when Jupiter is ranting and raving to the burnt corpse, speaking right into the camera. Its one of those performances where you just cringe and feel bad for that poor actor. Its also evidence of some of the worst editing I've seen, theres a terrible jump cut right in the middle of his ""speech"". There are a few creepy moments though, and at times the music works well...but overall the film [[isLt]] that great and I dont know why people think Wes Craven is that great of a director. Thus far he hasn't showed me anything that I believe to be brilliant, the only thing that improved with Cravens films, production to prodution was his budget.",0.11430490016937256,0.6686723232269287,0,1,0,99,Successful
"Eleven years ago, Stanley Ipkiss released his true inner self and became the hero of Edge City by finding and wearing the Norse god of mischief, Loki's mask. The Mask helped bring Jim Carrey to the forefront of comedy and reached a very popular status for its originality and just pure fun. Everyone knew how to spell party. P-A-R-T-Y. Why? Cuz I gotta! Now, eleven years later, it seems to me that the same philosophy has been applied to the new movie ""Son of the Mask."" Someone asked director Lawrence Guterman why are you making this? And he responds ""Cuz I gotta!"" Unfortunately, that answer doesn't cover it because after seeing Son of the Mask I still left the theatre thinking, ""Good Lord, Why?"" Guterman and the rest of the people involved in the blasphemous film need to realize that the response given to why are you making this film should not be as simple as the answer to the debate on whether or not to party.<br /><br />The Son of the Mask begins with Otis the dog finding the infamous mask and bringing it back to his owner Tim Avery, a clear homage to legendary Loony Toons creator Tex Avery. Tim, played by Jamie Kennedy, is a struggling animator who is stuck working as a turtle tour guide for the animation company he aspires to one-day draw for. On the night of the company Halloween party, Tim puts on the mask and transforms into the mischievous, insane character that we all expect. After the party Tim goes home, mask still on and conceives a child with his wife. Nine months later mayhem ensues as the baby born of the mask has remarkable cartoonish powers. Otis the dog, jealous of the baby's attention, puts on the mask and partakes in Tom and Jerry type mayhem to out the baby. Meanwhile, Loki, played by Alan Cumming, is in search for his mask at the orders of his father, Odin.<br /><br />First off, ill admit that I do respect the fact that this film pays so much homage to the classic cartoons such as Tom and Jerry and Loony Toons, with its Wile E. Coyote type contraptions and the infamous dancing frog type plot. However, this reverence cannot save the film and makes it [[less]] respectful and more of a [[waste]] of time.<br /><br />The premise of the movie becomes increasingly silly. Silly is not always a bad thing, but in this movie, the silliness gets to the point of just plain annoying. The characters are not fun to watch, and what's worse, they're not funny. The dullness of the characters can also be attributed to the fact that so much CGI was used. One of the greatest things about the original is that while, obviously computer animation was used, so much relied on Jim Carrey and his exuberant style of just being. Jim Carrey, we were convinced, was an actual cartoon. Jamie Kennedy just doesn't have that kind of ability, a fact that is clear when you watch him wear the mask and his facial features rarely shift. The baby and dog were mostly completely animated which became increasingly distracting throughout the movie. The side story of Loki searching for the mask just became more and more stupefying.<br /><br />The son of the Mask is a sad sad state of affairs. What I suggest is you go rent or buy the original the Mask and thank the Norse gods, or whoever, for bringing it to us. And will consider seeing the sequel my sacrifice as I continue to ask the infamous question ""WHY?"" The son of the Mask gets one star, although that star should be divvied up between the classic creators of Loony Toons and Jim Carrey, who will always be, in my book, the mask.","Eleven years ago, Stanley Ipkiss released his true inner self and became the hero of Edge City by finding and wearing the Norse god of mischief, Loki's mask. The Mask helped bring Jim Carrey to the forefront of comedy and reached a very popular status for its originality and just pure fun. Everyone knew how to spell party. P-A-R-T-Y. Why? Cuz I gotta! Now, eleven years later, it seems to me that the same philosophy has been applied to the new movie ""Son of the Mask."" Someone asked director Lawrence Guterman why are you making this? And he responds ""Cuz I gotta!"" Unfortunately, that answer doesn't cover it because after seeing Son of the Mask I still left the theatre thinking, ""Good Lord, Why?"" Guterman and the rest of the people involved in the blasphemous film need to realize that the response given to why are you making this film should not be as simple as the answer to the debate on whether or not to party.<br /><br />The Son of the Mask begins with Otis the dog finding the infamous mask and bringing it back to his owner Tim Avery, a clear homage to legendary Loony Toons creator Tex Avery. Tim, played by Jamie Kennedy, is a struggling animator who is stuck working as a turtle tour guide for the animation company he aspires to one-day draw for. On the night of the company Halloween party, Tim puts on the mask and transforms into the mischievous, insane character that we all expect. After the party Tim goes home, mask still on and conceives a child with his wife. Nine months later mayhem ensues as the baby born of the mask has remarkable cartoonish powers. Otis the dog, jealous of the baby's attention, puts on the mask and partakes in Tom and Jerry type mayhem to out the baby. Meanwhile, Loki, played by Alan Cumming, is in search for his mask at the orders of his father, Odin.<br /><br />First off, ill admit that I do respect the fact that this film pays so much homage to the classic cartoons such as Tom and Jerry and Loony Toons, with its Wile E. Coyote type contraptions and the infamous dancing frog type plot. However, this reverence cannot save the film and makes it [[ess]] respectful and more of a [[wauste]] of time.<br /><br />The premise of the movie becomes increasingly silly. Silly is not always a bad thing, but in this movie, the silliness gets to the point of just plain annoying. The characters are not fun to watch, and what's worse, they're not funny. The dullness of the characters can also be attributed to the fact that so much CGI was used. One of the greatest things about the original is that while, obviously computer animation was used, so much relied on Jim Carrey and his exuberant style of just being. Jim Carrey, we were convinced, was an actual cartoon. Jamie Kennedy just doesn't have that kind of ability, a fact that is clear when you watch him wear the mask and his facial features rarely shift. The baby and dog were mostly completely animated which became increasingly distracting throughout the movie. The side story of Loki searching for the mask just became more and more stupefying.<br /><br />The son of the Mask is a sad sad state of affairs. What I suggest is you go rent or buy the original the Mask and thank the Norse gods, or whoever, for bringing it to us. And will consider seeing the sequel my sacrifice as I continue to ask the infamous question ""WHY?"" The son of the Mask gets one star, although that star should be divvied up between the classic creators of Loony Toons and Jim Carrey, who will always be, in my book, the mask.",0.0905410647392273,0.7162221670150757,0,1,0,378,Successful
"Having lived in Michigan's Upper Peninsula (30 miles from Escanaba) in the mid-1990s, I was eager to see this film. [[It]] [[begins]] promisingly enough, with some superficial understanding of the values and quirks of U.P. life. But Jeff Daniels apparently was not content with a low-key approach that would have been fitting given the place and the people. Instead, he introduces extremely [[crude]] humor and some wildly [[inappropriate]] mystical/supernatural elements. [[Although]] there is a good movie to be made about this practically unknown region of the U.S., this is [[NOT]] it.","Having lived in Michigan's Upper Peninsula (30 miles from Escanaba) in the mid-1990s, I was eager to see this film. [[tI]] [[begisn]] promisingly enough, with some superficial understanding of the values and quirks of U.P. life. But Jeff Daniels apparently was not content with a low-key approach that would have been fitting given the place and the people. Instead, he introduces extremely [[cude]] humor and some wildly [[inapprorpiate]] mystical/supernatural elements. [[Atlhough]] there is a good movie to be made about this practically unknown region of the U.S., this is [[NtOT]] it.",0.0048642754554748535,0.7509282827377319,0,1,0,81,Successful
